Country,Code,Year,Homicide Rate
27,27,1997,3.6225321
27,27,2002,3.8188345
27,27,2003,3.8837967
27,27,2004,3.9597688
27,27,2010,17.743868
28,29,1965,0.8718172
28,29,1966,1.3919381
28,29,1967,1.144844
28,29,1968,1.0330242
28,29,1969,0.580063
28,29,1970,2.1102612
28,29,1971,1.5456707
28,29,1972,0.7562548
28,29,1973,1.3053306
28,29,1974,0.899781
28,29,1975,0.6119637
28,29,1976,0.5684767
28,29,1977,0.55976236
28,29,1978,1.0711024
28,29,1979,0.7686937
28,29,1980,0.6321822
28,29,1981,0.43674484
28,29,1982,1.01679
28,29,1983,0.76091945
28,29,1984,0.9020777
28,29,1985,0.80249906
28,29,1986,1.1169447
28,29,1987,1.5697063
28,29,1988,1.5801088
28,29,1989,1.6737503
28,29,1990,1.6242682
28,29,1991,1.1338583
28,29,1992,1.2569261
28,29,1994,1.042882
28,29,1995,0.954202
28,29,1996,0.9730254
28,29,1997,1.8026147
28,29,1998,1.8971549
28,29,1999,1.8109137
28,29,2000,1.5450741
28,29,2001,1.0255646
28,29,2002,0.8678528
28,29,2003,1.0674531
28,29,2004,1.393157
28,29,2005,2.1469927
28,29,2006,1.7140518
28,29,2007,1.4348181
28,29,2008,1.7092526
28,29,2009,2.3086429
28,29,2010,3.1064973
28,29,2011,2.5267568
28,29,2012,3.2240634
28,29,2013,5.445302
28,29,2014,5.343999
28,29,2015,5.7171974
28,29,2016,5.16634
28,29,2017,5.1386075
28,29,2018,3.9615583
29,30,1966,3.338087
29,30,1967,3.3621583
29,30,1968,0.8699575
29,30,1969,1.2683595
29,30,1970,1.3515337
29,30,1971,1.3157737
29,30,1972,1.1423709
29,30,1973,1.683723
29,30,1974,1.3508338
29,30,1975,1.6027435
29,30,1977,1.1103895
29,30,1978,1.3272645
29,30,1979,1.2987972
29,30,1980,1.5723009
29,30,1981,1.4499688
29,30,1982,1.8216004
29,30,1983,1.7653743
29,30,1984,1.8826518
29,30,1985,1.9750456
29,30,1986,2.663024
29,30,1987,2.1916616
29,30,1988,2.1760423
29,30,1989,2.8498664
29,30,1990,2.5945299
